Código;Fantasia;Nome completo;Fone;UF;Cidade;Bairro;Endereço;CEP;Latitude;Longitude;F/J;Id. F.Pagto;F.Pagto;Id.Vendedor;Vendedor;Vendedor Externo;Id.Região;Região;CNPJ/CPF;Inscr. Estadual;E-mail;Cliente desde;Operador;Conceito;Id. Principal;Fantasia Principal;Id. Transportadora;Transportadora;Premiação;Frete Cli.;Emp. de Operação;Local de montagem
147.130;AGROPLANT;AGROPLANT CONSULTORIA AMBIENTAL E AGRON.;COM:35-9958.6533  COM:35-9184.4682;MG;SÃO JOSÉ DA BARRA;ZONA RURAL;SIT AGUA LIMPA,SN - KM2;37945-000;0;0;J;0;;;;;;;21.714.972/0001-18;;rmbarra@hotmail.com;  /  /;;;0;;0;;;a;0;
328.621;AGUA GOLD;F C FERNANDES TRANSPORTES E SERVICOS LTA;;RJ;RIO DE JANEIRO;TAQUARA;Estrada Santa Efigenia,110;22775-780;0;0;J;0;;;;;;;14.767.581/0001-04;;mcostacontabeis@bol.com.br;  /  /;;;328621;AGUA GOLD;0;;;;0;
325.909;AGUAZUL BOMBAS LTDA;AGUAZUL BOMBAS LTDA;;PR;MARINGA;ZONA 03;Avenida Brasil,1415;87050-000;-23;-52;J;0;;;;;;;05.546.236/0001-41;9027536996;aguazulbombas@onda.com.br;  /  /;;;325909;AGUAZUL BOMBAS LTDA;0;;;;0;
324.448;AGUIMAR ANDRADE;AGUIMAR ANDRADE COMERCIO E ASSISTENCIA A;;MG;CONTAGEM;VILA SAO PAULO;"Rua Apolo,117 - LETRA: A;";32210-480;-20;-44;J;0;;;;;;;66.219.957/0001-31;0627592720034;referencial@referencialcontabil.com.br;  /  /;;;324448;AGUIMAR ANDRADE;0;;;;0;
146.838;AIR PRODUCTS BRASIL;AIR PRODUCTS BRASIL LTDA;COM:21-2236.9806;RJ;DUQUE DE CAXIAS;VILA SÃO LUÍS;RODOVIA WASHINGTON LUIZ,1987;25055-009;0;0;J;0;;;;;;;43.843.358/0005-12;82402497;apdirect@airproducts.com;  /  /;;;0;;0;;;a;0;
148.232;AIRES & TEIXEIRA OTI;AIRES & TEIXEIRA OTICA LTDA-ME;;;;;;;0;0;J;0;;;;;;;10.785.543/0001-15;.NULL.;maurioptico1@gmail.com;  /  /;;;0;;0;;;a;0;
328.375;AKSO PRODUTOS ELETRA;AKSO PRODUTOS ELETRONICOS LTDA;COM:51-513604171.7516;RS;SAO LEOPOLDO;JARDIM AMERICA;Rua Emilio H. Dexheimer,357;93032-200;0;0;J;0;;;;;;;05.545.381/0001-08;;financeiro@akso.com.br;  /  /;;;328375;AKSO PRODUTOS ELETRA;0;;;;0;
328.238;AL IMPORTAÇÃO;AL IMPORTAÇÃO;;SP;SAO CAETANO DO SUL;PROSPERIDADE;Rua dos Marmores,9 - SALA 4;09550-590;0;0;J;0;;;;;;;43.087.524/0001-74;636488588116;site;  /  /;;;328238;AL IMPORTAÇÃO;0;;;;0;
328.181;ALDINOX AMBIENTAL;ALDINOX AMBIENTAL LTDA;;SP;SAO JOSE DO RIO PRETO;CENTRO (ENGENHEIRO SCHMITT);Rua Doutor Alberto Andalo,195;15104-016;-21;-49;J;0;;;;;;;18.543.328/0001-10;647668192110;site;  /  /;;;328181;ALDINOX AMBIENTAL;0;;;;0;
322.869;ALEXANDRE E CESAR DR;ALEXANDRE E CESAR COM. DE FERRO,SERVICOA;COM:21-3822.3466  COM:21-3903.9037;RJ;RIO DE JANEIRO;ENCANTADO;Rua Dois de Fevereiro,448;20730-452;-23;-43;J;0;;;;;;;08.505.971/0001-03;78.218.55-0;alvessilvaalexandre096.com;  /  /;;;322869;ALEXANDRE E CESAR DR;0;;;a;0;
324.950;ALEXSANDRO SANTOS JR;ALEXSANDRO SANTOS JUNIOR;;SP;RIBEIRAO PRETO;JARDIM AEROPORTO;Avenida Recife,399;14078-390;-21;-48;J;0;;;;;;;28.633.388/0001-87;797317933114;orlandoleite@terra.com.br;  /  /;;;324950;ALEXSANDRO SANTOS JR;0;;;;0;
323.689;ALFA CENOGRAFIA;AFC CENOGRAFIA LTDA;;RJ;RIO DE JANEIRO;TOMÁS COELHO;Rua Sebastião Pereira,247;21381-160;-23;-43;J;0;;;;;;;27.065.832/0001-42;12.620.31-4;wellinton@alfacenografia.com.br;  /  /;;;323689;ALFA CENOGRAFIA;0;;;;0;
322.406;ALFALAB MATERIAL PAA;ALFALAB MATERIAL PARA LABORATORIOS LTDA;;RJ;RIO DE JANEIRO;CATUMBI;Rua Itapiru,01473;20251-032;-23;-43;J;0;;;;;;;29.316.650/0001-22;82.821.40-6;vendas5@grupoalfalab.com;  /  /;;;322406;ALFALAB MATERIAL PAA;0;;;a;0;
323.790;ALINE EVENTOS;ALINE FRAGA 08950208741;;RJ;RIO DE JANEIRO;TAQUARA;Estrada Rodrigues Caldas,2055 - APT 301 BLOCO 08;22713-374;-23;-43;J;0;;;;;;;44.433.785/0001-61;ISENTO;alineeventos@yahoo.com.br;  /  /;;;323790;ALINE EVENTOS;0;;;;0;
324.015;ALINE RODRIGUES DE A;ALINE RODRIGUES DE LIMA;;RS;NOVO HAMBURGO;LIBERDADE;Rua Rio Tocantins,59;93332-170;-30;-51;J;0;;;;;;;28.003.096/0001-60;0860556972;importados.com20@gmail.com;  /  /;;;324015;ALINE RODRIGUES DE A;0;;;;0;
100.192;ALKALLIS BRASIL IND;ALKALLIS BRASIL IND COM PRODUTOS QUIMICO;COM:11-2412.8424;SP;GUARULHOS;CIDADE INDUSTRIAL SATÉLITE DE;RUA VOLTA GRANDE,21;07223-075;0;0;J;0;;;;;;;49.486.665/0001-46;336160507118;vendas@alkallisbrasil.com.br;  /  /;;;0;;0;;;a;0;
319.690;ALL PRINTER;ALL PRINTER PHOTO E COPIA DIGITAL LTDA;COM:21-99972.5152;RJ;NILÓPOLIS;CENTRO;Rua Alberto Teixeira da Cunha,126;26510-613;0;0;J;0;;;;;;;05.298.253/0001-07;;l.souto@hotmail.com;  /  /;;;0;;0;;;a;0;
321.207;ALLAN LOPES KEILER;ALLAN LOPES KEILER;;SP;TATUÍ;VILA PAULINA;Rua Prefeito Manoel Luiz da Silva Sá,460;18276-380;0;0;J;0;;;;;;;43.689.307/0001-54;687.258.162.113;grafica.studiok@gmail.com;  /  /;;;0;;0;;;a;0;
323.502;ALLANTEC;ALLANTEC AUDIOVISUAL LOCACOES DE BENS MA;COM:11-3313.6943;SP;GUARULHOS;JARDIM BANDEIRANTES;Rua Pixinguinha,115;07111-360;-23;-46;J;0;;;;;;;09.530.648/0001-44;336.842.333.111;allantec@allantec.com.br;  /  /;;;323502;ALLANTEC;0;;;;0;
323.290;ALLIED TECNOLOGIA;ALLIED TECNOLOGIA S.A.;;ES;SERRA;TERMINAL INTERMODAL DA SERRA;Avenida Cem,S/N - LOTE MODULO 11 QUADRA01 1;29161-384;-20;-40;J;0;;;;;;;20.247.322/0005-70;083.157.98-0;lucas cipolato <lcipolato@sejunta.com.br>;  /  /;;;323290;ALLIED TECNOLOGIA;0;;;;0;
325.004;ALMEIDA SOUZA;ALMEIDA SOUZA COMERCIO VAREJISTA DE PROA;;SP;SAO PAULO;SE;Rua Tabatinguera,140 - SALA 411;01020-901;-24;-47;J;0;;;;;;;48.895.862/0001-56;138328714113;reginaldocicero@gmail.com;  /  /;;;325004;ALMEIDA SOUZA;0;;;;0;
326.233;ALPHA BABY;BICCI E GRECHI LTDA;;SP;TIETE;JARDIM BONANZA;AV ARRASTAO,1084;18530-000;-23;-48;J;0;;;;;;;29.142.469/0001-47;692087024112;bicci@tbmcontabilidade.com.br;  /  /;;;326233;ALPHA BABY;0;;;;0;
326.038;ALQUEZ ENGENHARIA;ALQUEZ ENGENHARIA ARQUITETURA E CONSTRUA;;RJ;RIO DE JANEIRO;JACAREPAGUA;Rua Antonio Cordeiro,201 - APT 103;22750-310;-23;-43;J;0;;;;;;;31.197.715/0001-00;12032382;ti.queiroz@gmail.com;  /  /;;;326038;ALQUEZ ENGENHARIA;0;;;;0;
328.638;ALTA PRESSAO RIO;ALTATEC COMERCIO DE GASES LTDA;COM:21-212187.0300;RJ;RIO DE JANEIRO;COLEGIO;Estrada do Colegio,704;21235-280;0;0;J;0;;;;;;;14.078.795/0001-65;79458910;marcos@altapressaorio.com.br;  /  /;;;328638;ALTA PRESSAO RIO;0;;;;0;
319.468;ALTO NIVEL EXTINTORS;ALTO NIVEL EXTINTORES E EQUIPAMENTOS COI;COM:21-99333.8208;RJ;RIO DE JANEIRO;INHOAÍBA;Rua do Papagaio,626 - LOJ;23063-030;0;0;J;0;;;;;;;31.418.546/0001-90;11.237.19-3;ivanildojsousa@gmail.com;  /  /;;;0;;0;;;a;0;
136.313;ALUGUEL CURITIBA;HD ADM PARTICIPACAO LIMITADA;COM:41-2322;PR;CURITIBA;CENTRO;Alameda Doutor Muricy,542 - SALA 311 E 314;80010-120;0;0;J;0;;;;;;;00.650.202/0001-89;;ric.gd@hotmail.com;  /  /;;;136313;ALUGUEL CURITIBA;0;;;a;0;
319.100;ALUGUEL FORTALEZA;PENA INDUSTRIA E COM LTDA;COM:85-1111.1111;CE;FORTALEZA;CENTRO;Rua Princesa Isabel,198;60015-060;0;0;J;0;;;;;;;10.483.899/0001-02;060280468;pena;  /  /;;;0;;0;;;a;0;
150.297;ALUGUEL SP;GKI ADIMINISTRADORA DE IMOVEIS LTDA;COM:11-3097.0877;SP;SÃO PAULO;PINHEIROS;Rua dos Pinheiros,503;05422-010;0;0;J;0;;;;;;;26.544.986/0001-54;;locacoes1@gki.com.br;  /  /;;;150297;ALUGUEL SP;0;;;a;0;
323.503;ALZIRAS GARDEN;ALZIRA DE SOUZA PINHEIRO;COM:85-3232.6024;CE;FORTALEZA;SERRINHA;Rua Barba Alardo,555;60741-040;-4;-39;J;0;;;;;;;27.900.479/0001-79;06.655151-0;alzirasgardenbuffet@outlook.com;  /  /;;;323503;ALZIRAS GARDEN;0;;;;0;
329.119;AM MARQUES;AM MARQUES PRODUTOS PARA LABORATORIO;;SP;SUMARE;JARDIM BELA VISTA;Rua Francisco Teixeira Nogueira Junior,33;13175-100;13;-23;J;0;;;;;;;24.842.922/0001-04;671303190113;site;  /  /;;;329119;AM MARQUES;0;;;;0;
325.731;AMARAL MAQUINAS LTDA;AMARAL MAQUINAS LTDA;;SC;NAVEGANTES;SAO DOMINGOS;Rua Gracilides Coelho Reiser,262;88370-552;-27;-49;J;0;;;;;;;12.237.248/0001-50;256179093;amaral@amaralmaquinas.com.br;  /  /;;;325731;AMARAL MAQUINAS LTDA;0;;;;0;
319.176;AMAZON.COM.BR;AMAZON SERVICOS DE VAREJO DO BRASIL LTD.;COM:11-4130.2000;SP;SÃO PAULO;VILA NOVA CONCEIÇÃO;Avenida Presidente Juscelino Kubitschek,2041 - ANDAR 18 20 2;04543-011;0;0;J;0;;;;;;;15.436.940/0001-03;145214552117;amzbr-tax-compliance@amazon.com;  /  /;;;0;;0;;;a;0;
144.840;AMB CLEAN CONSULTORI;AMB CLEAN CONSULTORIA AMBIENTAL LTDA;COM:21-2261.0880;RJ;RIO DE JANEIRO;CENTRO;Avenida Rio Branco 45,45 - SALA 1006;20090-908;-23;-43;J;0;;;;;;;04.878.764/0001-35;03128903;ambclean@terra.com.br;  /  /;;;144840;AMB CLEAN CONSULTORI;0;;;a;0;
326.457;AMBIENTAL FILTROS LA;AMBIENTAL FILTROS LTDA;;SP;MOGI DAS CRUZES;JARDIM SANTA CAROLINA;Rua Bento Ramos de Queiroz,81;08770-130;-24;-46;J;0;;;;;;;33.846.745/0001-25;454639314115;contato@ambientalfiltros.com.br;  /  /;;;326457;AMBIENTAL FILTROS LA;0;;;;0;
322.168;AMBIOSEG;TRIUM ENGENHARIA E MULTISERVICOS EIRELI;COM:21-2146.4214  COM:21-7939.5469;RJ;RIO DE JANEIRO;HONÓRIO GURGEL;Rua Cônego Boucher Pinto,621;21511-290;-23;-43;J;0;;;;;;;16.704.008/0001-79;11.051.77-4;thiago@ambioseg.com.br;  /  /;;;322168;AMBIOSEG;0;;;a;0;
147.208;AMERICANAS;AMERICANAS S.A.;COM:21-4003.4848;RJ;RIO DE JANEIRO;SAÚDE;Rua Sacadura Cabral,102;20081-902;-23;-43;J;0;;;;;;;00.776.574/0006-60;85687085;fiscal.nfe@b2wdigital.com;  /  /;;;147208;AMERICANAS;0;;;a;0;
329.309;AMERICANVEK;AMERICANVEK PROTECAO INDUSTRIAL LTDA;;SP;SAO PAULO;INTERLAGOS;Rua Pedro SantaLucia,162;04815-250;5;-24;J;0;;;;;;;20.977.902/0001-90;143893745117;site;  /  /;;;329309;AMERICANVEK;0;;;;0;
327.304;AMERICAS OFTALMOCENA;AMERICAS OFTALMOCENTER SERVICOS OFTALMOA;;RJ;RIO DE JANEIRO;BARRA DA TIJUCA;Avenida das Americas - ate 1600 - lado par,700 - BL. C 8 LJ.;22640-100;-23;-43;J;0;;;;;;;11.271.114/0001-92;ISENTO;diretoria@americasoftalmocenter.com;  /  /;;;327304;AMERICAS OFTALMOCENA;0;;;;0;
149.150;AMIL ASSISTENCIA MED;AMIL ASSISTENCIA MEDICA INTERNACIONAL SA;COM:21-3805.1000;RJ;RIO DE JANEIRO;SAUDE;AV BARAO DE TEFE,,34;20220460;-23;-43;J;0;;;;;;;29.309.127/0122-66;03234835;amil assistencia medica internacional s.a;  /  /;;;149150;AMIL ASSISTENCIA MED;0;;;a;0;
325.596;AMIL PRODUTOS;AMIL PRODUTOS INDUSTRIAIS LTDA;;RJ;MESQUITA;CENTRO;Avenida Manoel Duarte,55;26553-281;-23;-43;J;0;;;;;;;23.305.842/0001-57;87010821;amilparafusos@gmail.com;  /  /;;;325596;AMIL PRODUTOS;0;;;;0;
328.987;AMO PACOTES;AMO PACOTES COMERCIO DIGITAL LTDA;;SP;GUARULHOS;PARQUE RENATO MAIA;Rua Jose Baptista do Rego,73;07115-008;7;-23;J;0;;;;;;;41.329.342/0001-37;127337656113;site;  /  /;;;328987;AMO PACOTES;0;;;;0;
325.086;AMO VINHO;AMO VINHO COMERCIO DE BEBIDAS E ALIMENTA;COM:51-99113.5565;RS;PORTO ALEGRE;TRES FIGUEIRAS;Rua Matias Jose Bins - ate 915/916,266 - SALA 1;91330-290;-30;-51;J;0;;;;;;;07.367.648/0001-40;ISENTO;fabiana@amovinho.com;  /  /;;;325086;AMO VINHO;0;;;;0;
326.622;AMORIM EQUIPAMENTOS;AMORIM EQUIPAMENTOS E MATERIAS LTDA;;MG;UBA;VALE DO IPE;Rua Jesus Salustiano,37;36507-284;-21;-43;J;0;;;;;;;27.677.952/0001-09;ISENTO;amorim.equipamentos@gmail.com;  /  /;;;326622;AMORIM EQUIPAMENTOS;0;;;;0;
324.289;AMPHER BRASIL;AMPHER BRASIL ENGENHARIA LTDA;;RJ;RIO DE JANEIRO;RAMOS;Rua Felisbelo Freire,412;21031-250;-23;-43;J;0;;;;;;;44.068.714/0001-07;12678070;faleconosco@ampher.com.br;  /  /;;;324289;AMPHER BRASIL;0;;;;0;
324.236;AMPLA TOOLS EQUIPAMA;AMPLA TOOLS EQUIPAMENTOS LTDA;;PR;PINHAIS;ATUBA;Rua Aristides de Oliveira,831;83326-160;-25;-49;J;0;;;;;;;32.293.724/0001-67;9080073604;amplatools@hotmail.com;  /  /;;;324236;AMPLA TOOLS EQUIPAMA;0;;;;0;
